cert_id,profile_id,cert_name,issuer,issue_date,expiry_date,credential_url,created_at
ab4220a7-474a-493b-3ced-df2d839fbc50,c754108f-f418-8f3f-8a14-be62295b4715,CompTIA Security+,CompTIA,2026-05-22,2029-05-21,https://www.comptia.org/certifications/security,2026-07-02 05:26:00
19985f15-ff00-2d4d-9020-59e4ff9ab5c2,27a0c3d7-7c96-7f79-b7e9-9acaa97065e1,Microsoft Certified: Azure Fundamentals (AZ-900),Microsoft,2025-09-18,,https://learn.microsoft.com/en-us/credentials/certifications/azure-fundamentals/,2026-09-14 03:30:00
21e8ac68-43e4-2caf-8181-a8cc369147eb,27a0c3d7-7c96-7f79-b7e9-9acaa97065e1,Google Data Analytics Professional Certificate,Google / Coursera,2025-10-31,,https://www.coursera.org/professional-certificates/google-data-analytics,2026-09-14 03:30:00
d9acd158-4d34-85c5-c5c1-4eb4b27b3d90,6bebac31-d4f8-fd72-f382-1cfdc083b73a,PCEP – Certified Entry-Level Python Programmer,Python Institute,2026-06-11,,https://pythoninstitute.org/pcep,2026-07-04 03:24:00
48ca7651-92f5-df7b-0323-d342df6a8f93,e14eb70d-b380-c73a-989d-9d4ae15ca666,Meta Front-End Developer Professional Certificate,Meta / Coursera,2026-04-19,,https://www.coursera.org/professional-certificates/meta-front-end-developer,2026-07-25 11:55:00
56abf2f1-43d8-8870-f81d-baa1c8120a8e,b495db4e-8245-6fb4-4ab7-706eb77350ca,Google Data Analytics Professional Certificate,Google / Coursera,2023-12-15,,https://www.coursera.org/professional-certificates/google-data-analytics,2026-08-02 00:35:00
38b77c07-80fb-9296-73b6-a09b1beaf6ac,a9ab364a-1777-e8cb-7468-5b98d2fe2fde,Microsoft Office Specialist: Excel Associate,Microsoft,2024-12-03,,https://learn.microsoft.com/en-us/credentials/,2026-07-07 20:23:00
4f76e388-12fe-28bf-81e0-d4895a18e2a3,b5a1b949-6788-4209-92ca-525a6de59332,CompTIA Security+,CompTIA,2026-04-09,2029-04-08,https://www.comptia.org/certifications/security,2026-08-11 14:51:00
92070158-f277-1f63-ada5-84175e2ad32d,b3ecb951-ab8c-bf97-20b7-1785d02ce0c1,Docker Certified Associate,Docker / Mirantis,2026-01-16,,https://training.mirantis.com/,2026-08-25 02:21:00
143029a9-d88f-1c94-48b7-63d5e519dd7e,5c8ac066-cb2f-afa3-2c91-3a7ca3404f08,CompTIA Security+,CompTIA,2023-09-05,2026-09-04,https://www.comptia.org/certifications/security,2026-07-18 17:04:00
b6adf48b-2314-d0c8-09f6-44050b990034,f6729464-3f8e-a40a-6b0a-e0e39d896047,"Oracle Certified Associate, Java SE Programmer",Oracle,2026-05-12,,https://education.oracle.com/,2026-07-21 20:10:00
8d7dd772-608e-2f5c-6117-727067c0518b,f50d7a37-a44d-9fec-fd85-d7fa8ac97b01,Google Data Analytics Professional Certificate,Google / Coursera,2026-04-29,,https://www.coursera.org/professional-certificates/google-data-analytics,2026-07-07 09:13:00
2444d301-baeb-286b-f0d0-270fd4d13d55,ca6caf9b-0969-7101-8b2c-550a6b15c11b,Google Data Analytics Professional Certificate,Google / Coursera,2025-12-08,,https://www.coursera.org/professional-certificates/google-data-analytics,2026-09-08 05:16:00
ea75752d-6a8f-cacb-3f8e-2d0d52619dec,44cdbfdd-df9b-141e-c7f7-bda1bff15840,Tableau Desktop Specialist,Tableau / Salesforce,2025-04-30,,https://www.tableau.com/learn/certification,2026-08-24 18:17:00
a484e035-330f-aaa3-6b52-f93c2321e64e,67863fb3-f3bc-9a71-07f4-fee52c82989f,CompTIA Security+,CompTIA,2025-07-06,2028-07-05,https://www.comptia.org/certifications/security,2026-09-11 03:46:00
d6707a21-29dc-073e-5820-b3f25989dd6c,d1403430-567e-642e-052d-fb9a5f584603,Tableau Desktop Specialist,Tableau / Salesforce,2025-01-15,,https://www.tableau.com/learn/certification,2026-07-30 13:35:00
57b936b0-3346-a332-fe0a-824e232a5e82,d0e656e5-9271-5f6e-fea8-2e3ab54401cb,Microsoft Certified: Power BI Data Analyst Associate (PL-300),Microsoft,2026-03-01,,https://learn.microsoft.com/en-us/credentials/certifications/data-analyst-associate/,2026-08-31 07:55:00
