project_id,profile_id,project_title,description,technologies,project_type,year_completed,created_at
a0ee89ae-d453-dd32-4b0d-bb418d5288f1,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,House Price Prediction,Trained regression models to predict Klang Valley property prices.,"{""Python"",""Machine Learning"",""Statistical Analysis""}",personal,2025,2026-07-13 05:09:00
a9488d99-0bbb-2599-11ce-5dd2b45ed1f0,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Plant Disease Image Classifier,CNN model to detect leaf diseases from photos.,"{""Deep Learning"",""Python""}",competition,2025,2026-07-13 05:09:00
47294739-614f-f3d7-19db-3ad0ddd1dfb2,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Student Performance Predictor,Predicted at-risk students from academic records.,"{""Machine Learning"",""Data Analysis"",""R""}",academic,2025,2026-07-13 05:09:00
1064005c-3985-c3cf-3f76-be1d1efa2197,c754108f-f418-8f3f-8a14-be62295b4715,Secure Login Module,"Implemented hashing, rate limiting and MFA for a web login.","{""Python"",""Flask"",""SQL""}",competition,2026,2026-07-02 05:26:00
122c9a56-01d7-4256-3860-2ab696a402f2,c754108f-f418-8f3f-8a14-be62295b4715,CTF Team Participation,Solved web and forensics challenges in a university CTF.,"{""Linux"",""Problem Solving"",""Teamwork""}",competition,2025,2026-07-02 05:26:00
ef8c485b-c07a-30f2-edd4-253b50f0fd0a,27a0c3d7-7c96-7f79-b7e9-9acaa97065e1,Retail Inventory Report Automation,Automated weekly inventory reporting from a SQL database.,"{""SQL"",""Excel""}",academic,2026,2026-09-14 03:30:00
e08596db-1d87-0966-0710-d430f071d879,cf8ebc5a-ccc5-6569-f9e8-a3692999b735,Linux Server Monitoring Scripts,"Bash scripts to monitor CPU, memory and disk usage.","{""Linux""}",competition,2025,2026-07-23 20:20:00
6f3f920c-98b8-e4cc-1bc0-44fc09cb3942,cf8ebc5a-ccc5-6569-f9e8-a3692999b735,Sentiment Analysis of Product Reviews,Classified Shopee product reviews using NLP techniques.,"{""Python"",""Natural Language Processing"",""Machine Learning""}",competition,2025,2026-07-23 20:20:00
629c2ae3-1d9a-f659-82ec-9f2dfbf6e16f,cf8ebc5a-ccc5-6569-f9e8-a3692999b735,CI/CD Pipeline for Web App,"Automated build, test and deploy with GitHub Actions and Docker.","{""Docker"",""Git"",""Linux""}",personal,2026,2026-07-23 20:20:00
464c04af-3d3f-3799-a072-95e97c0e8cd8,31c681ec-935f-2b0a-a138-4ddce2d9de5d,Azure-hosted Student Portal,Deployed a web portal to Azure App Service with a managed database.,"{""Azure"",""Cloud Computing"",""SQL""}",academic,2026,2026-07-20 07:23:00
e49d681d-51d8-7c64-55fa-1ab8458f1f19,31c681ec-935f-2b0a-a138-4ddce2d9de5d,Linux Server Monitoring Scripts,"Bash scripts to monitor CPU, memory and disk usage.","{""Linux""}",academic,2024,2026-07-20 07:23:00
b4d7e28e-271e-3ee2-b1a6-b1f1620e99d3,31c681ec-935f-2b0a-a138-4ddce2d9de5d,Serverless Image Resizer,Built an event-driven image pipeline on AWS Lambda and S3.,"{""AWS"",""Cloud Computing"",""Python""}",academic,2024,2026-07-20 07:23:00
13748146-32c5-bd89-b70b-3420f1043785,6bebac31-d4f8-fd72-f382-1cfdc083b73a,Inventory Tracker CLI,Command-line tool for small-business stock tracking.,"{""C++"",""Git""}",personal,2026,2026-07-04 03:24:00
c29cfc0c-fa02-eaec-96ef-2ad6b97e6703,e14eb70d-b380-c73a-989d-9d4ae15ca666,Campus Event Booking API,REST API for booking campus events with authentication.,"{""Python"",""FastAPI"",""SQL"",""Git""}",personal,2026,2026-07-25 11:55:00
