student_skill_id,profile_id,skill_name,proficiency_level,evidence_type,evidence_notes,added_at
a5e5a5ab-aefc-fad8-efc8-9849b3aa7efe,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,AI Literacy,intermediate,"{""coursework""}",,2026-07-13 05:09:00
6123fdf7-7656-af72-29d4-beef3eabedcb,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Azure,intermediate,"{""coursework""}",,2026-07-13 05:09:00
8e944239-b02b-61c4-a3d7-0628ece66fa2,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Cloud Computing,intermediate,"{""coursework""}",,2026-07-13 05:09:00
0837b8a3-d261-a7ab-3aa2-e4f90e51f30d,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Data Analysis,intermediate,"{""project"",""coursework""}",Applied in project work.,2026-07-13 05:09:00
3602f8ac-10f1-bc81-448a-aa9e66b2bc5b,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Deep Learning,advanced,"{""project""}",Applied in project work.,2026-07-13 05:09:00
654821d0-7fcd-9eb1-a7ca-d415366eb16f,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Git,beginner,"{""coursework""}",,2026-07-13 05:09:00
43cf2fde-2493-3b83-7577-50a9a491f0b2,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Leadership,intermediate,"{""coursework""}",,2026-07-13 05:09:00
e5d7b875-6dad-d6c7-95a7-6d79bf3c4c06,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Machine Learning,intermediate,"{""project"",""coursework""}",Applied in project work.,2026-07-13 05:09:00
ff5e9ff0-ff50-bde4-3825-67b85cabcc97,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Problem Solving,intermediate,"{""coursework""}",,2026-07-13 05:09:00
a0a04dc4-2720-9bdf-1c11-f735dc713d96,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Python,intermediate,"{""project"",""coursework""}",Applied in project work.,2026-07-13 05:09:00
10435a10-98ae-4334-6c12-ace8ae340454,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,R,advanced,"{""project"",""coursework""}",Applied in project work.,2026-07-13 05:09:00
dc5c0eed-8da0-365b-f898-97b9405cacec,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,SQL,intermediate,"{""coursework""}",,2026-07-13 05:09:00
ae849217-1d53-434b-b881-39b9ae270da7,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Statistical Analysis,intermediate,"{""project""}",Applied in project work.,2026-07-13 05:09:00
6f4cc69a-4b22-d308-1c8e-aee95715bd6f,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Teamwork,intermediate,"{""coursework""}",,2026-07-13 05:09:00
e037e5ed-b8db-0672-f42d-47cc00d4af59,bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Time Management,beginner,"{""coursework""}",,2026-07-13 05:09:00
922fe15a-e1e3-db63-ef7d-dc76b92da22b,c754108f-f418-8f3f-8a14-be62295b4715,AWS,beginner,"{""coursework""}",,2026-07-02 05:26:00
18d0752b-1825-bc54-30be-b45f683514f2,c754108f-f418-8f3f-8a14-be62295b4715,Cloud Computing,intermediate,"{""coursework""}",,2026-07-02 05:26:00
778eedb3-693d-ffbc-6c6f-a6115ab33edf,c754108f-f418-8f3f-8a14-be62295b4715,Docker,intermediate,"{""coursework""}",,2026-07-02 05:26:00
6712303a-0f84-4fef-1931-e9eea56c0941,c754108f-f418-8f3f-8a14-be62295b4715,Flask,advanced,"{""project""}",Applied in project work.,2026-07-02 05:26:00
3fa7f104-1bf9-0e27-dc96-925eccf3a171,c754108f-f418-8f3f-8a14-be62295b4715,Linux,intermediate,"{""project"",""certification""}",Applied in project work.,2026-07-02 05:26:00
3ff350bf-766e-cb15-474e-bc192ef91276,c754108f-f418-8f3f-8a14-be62295b4715,Natural Language Processing,beginner,"{""coursework""}",,2026-07-02 05:26:00
dc815fe7-ceda-8bbb-7171-0434134c6c92,c754108f-f418-8f3f-8a14-be62295b4715,Problem Solving,intermediate,"{""project"",""certification""}",Applied in project work.,2026-07-02 05:26:00
f8102383-03c7-2ba8-d605-e7708a63f881,c754108f-f418-8f3f-8a14-be62295b4715,Python,advanced,"{""project""}",Applied in project work.,2026-07-02 05:26:00
2a935d62-3c83-5dc0-d944-1fa5c0e9ab30,c754108f-f418-8f3f-8a14-be62295b4715,SQL,intermediate,"{""project"",""coursework""}",Applied in project work.,2026-07-02 05:26:00
610461e3-2a25-a888-0f02-bad0e7067ef4,c754108f-f418-8f3f-8a14-be62295b4715,Teamwork,beginner,"{""project"",""coursework""}",Applied in project work.,2026-07-02 05:26:00
8b10550c-d570-4f32-702c-dd20286218b8,27a0c3d7-7c96-7f79-b7e9-9acaa97065e1,Azure,intermediate,"{""certification""}",,2026-09-14 03:30:00
ce9e1a11-fcbb-4e59-fbdd-cf7c9c96e9ec,27a0c3d7-7c96-7f79-b7e9-9acaa97065e1,Cloud Computing,beginner,"{""certification""}",,2026-09-14 03:30:00
1a84a51a-a9d3-d7c7-ee87-905e4ca415ea,27a0c3d7-7c96-7f79-b7e9-9acaa97065e1,Communication,intermediate,"{""coursework""}",,2026-09-14 03:30:00
e3c43657-1d8c-bbac-43b4-09ef2260e70f,27a0c3d7-7c96-7f79-b7e9-9acaa97065e1,Data Analysis,intermediate,"{""certification""}",,2026-09-14 03:30:00
57c700aa-b7b5-6ea7-35eb-d32d9ad620ab,27a0c3d7-7c96-7f79-b7e9-9acaa97065e1,Excel,beginner,"{""project"",""coursework""}",Applied in project work.,2026-09-14 03:30:00
81627cf1-4394-72e6-da58-7e8aa25d6b29,27a0c3d7-7c96-7f79-b7e9-9acaa97065e1,Leadership,beginner,"{""coursework""}",,2026-09-14 03:30:00
d450281c-6c6f-7633-a260-772317a0df49,27a0c3d7-7c96-7f79-b7e9-9acaa97065e1,Machine Learning,intermediate,"{""coursework""}",,2026-09-14 03:30:00
217d65a0-c568-11cd-5563-f61600e85ece,27a0c3d7-7c96-7f79-b7e9-9acaa97065e1,Node.js,beginner,"{""coursework""}",,2026-09-14 03:30:00
8f9797b0-6d7c-e3c9-b4a6-9f3c8d3aed99,27a0c3d7-7c96-7f79-b7e9-9acaa97065e1,Python,beginner,"{""coursework""}",,2026-09-14 03:30:00
b0e6a969-e213-42b0-f1ee-dba313432e61,27a0c3d7-7c96-7f79-b7e9-9acaa97065e1,R,advanced,"{""certification"",""coursework""}",,2026-09-14 03:30:00
6e068097-25e9-7977-8d72-48e2951f58d0,27a0c3d7-7c96-7f79-b7e9-9acaa97065e1,SQL,beginner,"{""project"",""certification""}",Applied in project work.,2026-09-14 03:30:00
eededb07-e623-a689-5d59-cd2a4eea04e7,27a0c3d7-7c96-7f79-b7e9-9acaa97065e1,Statistical Analysis,beginner,"{""coursework""}",,2026-09-14 03:30:00
aabc25fa-3fe1-2e47-ae9b-ec3635c7936c,27a0c3d7-7c96-7f79-b7e9-9acaa97065e1,Tableau,intermediate,"{""certification""}",,2026-09-14 03:30:00
abae4f43-bcae-8081-bdf0-70aaf0b5156b,cf8ebc5a-ccc5-6569-f9e8-a3692999b735,Azure,intermediate,"{""internship""}",Used during internship.,2026-07-23 20:20:00
aa0b7b14-f2e9-702d-11e9-cdaa6e6981a3,cf8ebc5a-ccc5-6569-f9e8-a3692999b735,Communication,beginner,"{""coursework""}",,2026-07-23 20:20:00
4ce1eb90-e669-7833-b841-d0a01fe771d6,cf8ebc5a-ccc5-6569-f9e8-a3692999b735,Docker,intermediate,"{""project""}",Applied in project work.,2026-07-23 20:20:00
6703b636-5380-b904-688c-7015aab97e49,cf8ebc5a-ccc5-6569-f9e8-a3692999b735,Git,intermediate,"{""project""}",Applied in project work.,2026-07-23 20:20:00
ad64b56c-610f-aa3f-f0bb-ac67aa38d0a1,cf8ebc5a-ccc5-6569-f9e8-a3692999b735,Leadership,intermediate,"{""coursework""}",,2026-07-23 20:20:00
